x,y,sigma_y
3.16E+06,2.26E+20,2.19E+19
3.95E+06,3.07E+20,1.42E+19
4.74E+06,3.88E+20,1.95E+19
5.53E+06,4.71E+20,2.58E+19
6.32E+06,5.53E+20,3.71E+19
7.11E+06,6.36E+20,1.38E+19
7.89E+06,7.20E+20,2.53E+19
8.68E+06,8.03E+20,2.04E+19
9.47E+06,8.87E+20,2.19E+19
1.03E+07,9.71E+20,1.42E+19
1.11E+07,1.06E+21,1.95E+19
1.18E+07,1.14E+21,2.58E+19
1.26E+07,1.22E+21,3.71E+19
1.34E+07,1.31E+21,1.38E+19
1.42E+07,1.39E+21,2.53E+19
,,
