x,y,sigma_y
270526,16320651055,2.19E+19
322632,1.51E+19,1.42E+19
374737,4.09E+19,1.95E+19
426842,6.92E+19,2.58E+19
478947,9.99E+19,3.71E+19
531053,1.33E+20,1.38E+19
583158,1.68E+20,2.53E+19
635263,2.04E+20,2.04E+19
687368,2.43E+20,2.19E+19
739474,2.83E+20,1.42E+19
791579,3.25E+20,1.95E+19
843684,3.68E+20,2.58E+19
895789,4.13E+20,3.71E+19
947895,4.59E+20,1.38E+19
1000000,5.06E+20,2.53E+19
